farmer_age,land_size_acres,annual_farm_income,loan_amount,crop_type,irrigation_type,existing_loans,credit_score
63,4.86,729342,359049,Sugarcane,Rainfed,2,832
49,6.93,149784,210492,Sugarcane,Borewell,1,813
56,5.22,813948,216885,Cotton,Borewell,2,847
33,1.39,164221,443598,Cotton,Borewell,1,523
52,3.26,124696,165492,Sugarcane,Rainfed,1,797
27,9.85,475675,88353,Sugarcane,Borewell,0,324
42,9.63,154635,452585,Rice,Rainfed,0,463
48,3.54,770777,84985,Rice,Canal,1,590
22,9.96,440687,354399,Maize,Rainfed,0,344
62,8.53,856619,401341,Maize,Rainfed,2,667
26,6.3,794567,111590,Cotton,Rainfed,1,510
48,0.88,131817,488702,Wheat,Borewell,1,445
48,9.06,640674,171282,Rice,Rainfed,1,649
64,5.8,437402,360027,Maize,Canal,0,705
64,8.75,313654,236390,Rice,Canal,0,309
40,8.43,775528,101566,Rice,Canal,2,819
50,8.41,242475,50650,Wheat,Canal,0,333
31,7.13,343378,222009,Rice,Canal,0,533
48,3.27,709487,71299,Wheat,Canal,2,480
45,3.69,177782,76862,Wheat,Rainfed,1,823
59,3.43,200759,328456,Rice,Borewell,1,685
53,0.69,622972,323087,Rice,Borewell,2,572
21,6.03,705887,380878,Maize,Canal,0,626
47,7.14,632813,460541,Rice,Rainfed,2,634
33,8.61,324635,175560,Rice,Canal,2,813
61,1.83,136291,102879,Rice,Canal,1,326
23,5.67,342047,247810,Maize,Canal,0,439
59,0.58,731345,169652,Wheat,Canal,1,394
26,1.4,214535,245082,Maize,Borewell,1,467
28,1.02,546208,446222,Rice,Borewell,2,816
47,7.39,620269,374020,Sugarcane,Rainfed,1,327
29,1.27,552566,495272,Rice,Rainfed,1,607
57,7.31,128577,320649,Maize,Canal,1,697
53,2.87,674236,332642,Maize,Borewell,0,433
62,8.84,880427,157679,Cotton,Canal,0,592
64,8.22,197700,197577,Sugarcane,Borewell,1,794
44,9.6,387361,310167,Maize,Borewell,2,654
35,8.9,277481,243590,Wheat,Rainfed,2,846
52,9.37,300112,449819,Rice,Rainfed,1,316
52,8.66,229657,336888,Wheat,Borewell,0,409
44,7.09,329002,456676,Maize,Rainfed,2,774
61,2.12,737363,365417,Maize,Canal,2,309
32,3.08,522885,391239,Wheat,Borewell,0,411
59,2.52,833607,78544,Wheat,Borewell,0,619
22,6.23,834335,56864,Cotton,Borewell,2,588
23,5.28,634591,401458,Rice,Canal,1,765
57,8.74,665917,391914,Wheat,Borewell,2,679
37,9.55,312535,78593,Rice,Rainfed,0,476
22,4.35,428151,487873,Sugarcane,Canal,0,663
22,5.31,531344,313873,Maize,Borewell,0,426
48,9.73,646327,94515,Wheat,Canal,0,562
43,3.12,750903,497497,Sugarcane,Canal,1,745
57,8.03,123857,347080,Maize,Rainfed,2,758
52,2.64,310091,62413,Cotton,Rainfed,0,565
53,6.97,735720,359796,Maize,Rainfed,0,586
21,2.91,340079,79764,Wheat,Borewell,0,324
39,8.9,725265,113784,Sugarcane,Borewell,2,484
22,5.83,394879,226813,Sugarcane,Rainfed,0,364
64,2.27,809871,254276,Sugarcane,Rainfed,2,726
46,2.63,690339,390940,Maize,Borewell,1,803
52,5.19,696981,126844,Rice,Rainfed,0,430
26,9.64,752230,177610,Rice,Canal,1,603
52,7.81,451296,240845,Maize,Canal,2,754
24,5.14,463063,174887,Wheat,Canal,1,412
31,3.71,411900,124432,Maize,Borewell,0,825
37,5.72,779254,417088,Rice,Rainfed,1,386
58,7.61,486675,200355,Maize,Canal,1,795
44,7.95,294304,266199,Sugarcane,Borewell,1,313
25,3.58,173214,75282,Wheat,Rainfed,1,692
54,7.35,714105,385354,Wheat,Rainfed,1,813
26,6.75,708150,277448,Cotton,Canal,2,459
42,9.61,865543,365128,Maize,Rainfed,2,591
31,9.35,543252,461608,Sugarcane,Rainfed,0,517
36,8.0,531800,409640,Maize,Canal,2,720
53,7.37,613663,316865,Cotton,Canal,2,845
29,3.1,807668,341341,Cotton,Rainfed,0,820
26,8.54,410477,207245,Maize,Borewell,2,339
36,4.56,506505,313210,Maize,Borewell,0,325
49,3.09,741618,420586,Maize,Canal,0,790
23,4.15,159288,304047,Rice,Rainfed,2,696
40,8.44,853167,109418,Cotton,Canal,1,324
56,1.91,760072,308883,Wheat,Borewell,0,498
39,4.83,296339,117454,Rice,Borewell,1,670
46,5.18,414319,388406,Sugarcane,Rainfed,0,390
23,0.85,653203,195354,Wheat,Canal,2,698
39,2.36,463802,205887,Wheat,Canal,1,759
40,8.35,491879,297087,Wheat,Borewell,0,524
52,8.39,619668,465810,Cotton,Canal,2,388
27,3.28,478117,254056,Sugarcane,Canal,1,595
61,8.81,840658,237583,Rice,Canal,2,474
53,7.83,658093,378822,Sugarcane,Rainfed,2,641
60,4.47,860494,167911,Rice,Borewell,1,569
59,7.61,553733,135768,Cotton,Canal,0,643
38,9.63,174716,379095,Sugarcane,Rainfed,0,474
60,4.86,253943,56374,Wheat,Canal,2,769
21,2.77,419519,76974,Sugarcane,Canal,0,322
31,9.45,821101,280136,Cotton,Borewell,1,837
48,6.24,492559,250250,Cotton,Rainfed,1,529
45,1.5,274220,264544,Cotton,Canal,2,429
43,5.94,650122,81914,Rice,Borewell,2,449
51,5.26,162680,100014,Sugarcane,Rainfed,1,465
50,8.63,773090,59347,Wheat,Canal,1,548
62,5.54,647687,402612,Wheat,Borewell,2,572
55,2.92,577307,240087,Maize,Canal,2,542
27,6.92,797122,401273,Cotton,Canal,1,667
36,5.65,488052,247936,Wheat,Rainfed,2,557
46,2.71,458637,493397,Cotton,Borewell,0,634
22,5.95,564764,199832,Wheat,Rainfed,1,506
21,8.3,803700,266233,Sugarcane,Canal,1,407
32,0.77,508910,142103,Maize,Borewell,2,555
25,6.49,474818,127599,Cotton,Canal,2,546
57,3.82,725632,278238,Rice,Canal,1,525
52,3.28,310862,442918,Rice,Canal,2,477
29,4.23,475923,446356,Wheat,Borewell,0,442
61,3.75,131809,263873,Sugarcane,Canal,2,445
55,8.41,642801,124266,Cotton,Borewell,1,376
39,3.11,793056,174737,Maize,Canal,2,337
36,7.46,883720,309578,Sugarcane,Rainfed,1,691
23,1.39,250306,326201,Wheat,Borewell,0,743
40,9.54,826817,341258,Sugarcane,Canal,1,420
44,6.41,703439,237287,Maize,Rainfed,0,636
53,7.21,204661,293762,Sugarcane,Borewell,0,434
44,3.33,314080,68580,Cotton,Rainfed,0,535
31,4.41,827848,264942,Wheat,Canal,0,334
28,2.63,176632,59802,Maize,Rainfed,0,311
56,9.36,186533,400001,Wheat,Canal,2,676
58,5.14,191889,151467,Cotton,Canal,0,668
60,6.49,728527,414911,Maize,Borewell,2,340
40,7.48,745799,185747,Maize,Canal,2,353
55,4.03,177942,195130,Wheat,Canal,2,428
45,7.34,129275,230073,Sugarcane,Borewell,1,580
55,6.92,217955,218591,Sugarcane,Borewell,1,635
45,7.2,758466,252827,Rice,Canal,0,548
49,5.15,811214,196517,Rice,Canal,2,656
38,4.14,529189,401594,Maize,Borewell,1,786
38,2.61,471230,276238,Wheat,Borewell,2,686
22,8.33,507808,156039,Maize,Rainfed,1,675
55,6.28,757462,288159,Wheat,Rainfed,2,344
36,4.72,332637,340839,Cotton,Rainfed,1,734
61,9.47,422079,408114,Rice,Borewell,0,831
56,0.95,152784,232299,Maize,Borewell,0,506
53,8.58,544817,261064,Cotton,Borewell,0,415
24,9.98,684153,342329,Sugarcane,Rainfed,2,584
53,8.93,479225,401836,Rice,Canal,0,395
34,8.2,637087,358052,Wheat,Canal,0,823
41,4.06,460845,224703,Sugarcane,Canal,1,809
40,2.7,531832,491209,Sugarcane,Borewell,1,563
28,7.48,662118,428854,Cotton,Canal,1,360
27,3.39,529421,52078,Maize,Canal,0,428
23,2.17,686713,408030,Maize,Borewell,1,388
37,7.97,852855,291518,Cotton,Borewell,1,377
53,3.47,600910,204850,Sugarcane,Borewell,0,369
32,9.19,721643,204469,Rice,Borewell,1,692
42,8.49,549067,193409,Sugarcane,Borewell,2,684
42,8.55,752327,294437,Cotton,Rainfed,1,756
50,7.83,374031,318155,Sugarcane,Borewell,2,451
58,8.87,520168,429268,Sugarcane,Canal,1,530
58,8.15,602977,220927,Sugarcane,Canal,1,765
28,6.22,691693,387676,Sugarcane,Rainfed,2,731
47,3.31,883127,281106,Rice,Borewell,0,573
47,8.94,375516,96845,Wheat,Canal,2,404
54,8.49,387535,201118,Wheat,Canal,0,647
41,4.99,593220,399174,Maize,Borewell,1,607
50,0.87,313540,56618,Wheat,Rainfed,0,557
53,6.57,135091,384579,Wheat,Borewell,0,656
48,0.98,412381,474538,Wheat,Borewell,2,532
53,9.3,495412,477013,Sugarcane,Borewell,0,463
25,9.64,375665,458344,Sugarcane,Borewell,0,603
39,2.3,456644,214251,Rice,Borewell,2,371
24,6.93,816042,248589,Sugarcane,Rainfed,0,453
55,1.38,494924,304613,Sugarcane,Canal,0,586
37,7.43,562850,288915,Wheat,Borewell,2,553
64,3.8,409112,168158,Rice,Canal,2,743
48,6.97,830193,477289,Rice,Canal,2,307
50,4.04,291277,128014,Wheat,Borewell,0,488
49,1.88,852267,437857,Wheat,Canal,1,334
26,4.36,769689,161550,Rice,Borewell,2,437
55,1.57,866577,404109,Cotton,Borewell,2,407
61,5.98,410429,218435,Wheat,Borewell,0,607
57,0.89,485651,308627,Wheat,Rainfed,1,439
44,5.51,565729,165503,Rice,Borewell,1,660
49,8.92,135430,192769,Cotton,Borewell,0,454
51,8.46,623982,196494,Cotton,Canal,2,612
55,8.89,371707,350524,Maize,Rainfed,0,517
53,9.26,784393,408021,Cotton,Canal,1,826
41,1.49,270990,110857,Wheat,Canal,2,522
52,1.72,400400,248645,Sugarcane,Borewell,1,665
43,5.79,299594,256130,Rice,Rainfed,1,701
53,8.99,839713,333403,Wheat,Rainfed,1,646
23,9.76,504090,122622,Rice,Borewell,1,683
38,0.94,675476,444365,Cotton,Rainfed,2,406
45,3.88,437278,72792,Rice,Borewell,2,641
62,2.52,418232,197462,Wheat,Rainfed,2,642
51,7.68,528195,215276,Sugarcane,Rainfed,0,623
23,6.58,843624,479234,Wheat,Borewell,2,802
60,1.64,252667,405795,Maize,Rainfed,1,614
44,5.09,807984,401727,Rice,Rainfed,1,486
52,7.01,610320,394758,Wheat,Rainfed,2,726
42,7.9,187824,202543,Cotton,Canal,2,483
43,0.69,291503,309514,Cotton,Borewell,0,773
22,8.96,476691,326407,Wheat,Canal,2,479
47,5.91,765912,372453,Maize,Rainfed,0,599
62,8.21,530343,364595,Rice,Rainfed,2,396
22,8.18,896654,382523,Maize,Canal,0,635
46,2.3,642040,127969,Sugarcane,Rainfed,2,480
37,1.55,722126,434569,Wheat,Rainfed,2,740
60,7.35,831720,192631,Maize,Borewell,2,702
53,1.99,228484,375872,Sugarcane,Rainfed,0,761
29,8.57,513423,54952,Maize,Borewell,1,535
63,7.4,121083,373870,Sugarcane,Borewell,0,522
59,8.5,302636,431879,Cotton,Canal,2,562
49,3.34,405279,352754,Cotton,Canal,1,361
62,3.51,177109,279401,Wheat,Rainfed,0,528
46,6.88,443498,136467,Maize,Canal,0,538
55,0.8,751180,183225,Cotton,Borewell,1,849
45,7.4,572517,144447,Rice,Canal,2,684
44,8.44,444377,451235,Cotton,Borewell,1,662
33,4.44,347827,418971,Cotton,Canal,2,440
27,7.77,595344,147167,Maize,Rainfed,1,751
56,2.16,297284,441034,Sugarcane,Canal,0,354
40,3.56,833136,350073,Rice,Rainfed,0,406
21,9.76,335648,460244,Rice,Canal,0,586
28,9.87,846746,346764,Sugarcane,Borewell,2,652
36,5.37,171588,287099,Maize,Canal,2,512
34,9.38,247558,168818,Cotton,Canal,1,480
32,5.47,460399,175803,Sugarcane,Borewell,2,464
43,3.27,797137,491690,Rice,Borewell,2,395
35,3.04,562501,60623,Rice,Canal,1,740
48,9.33,241921,135504,Cotton,Borewell,2,302
54,2.14,333630,53809,Cotton,Borewell,1,788
22,6.01,737769,173690,Wheat,Canal,2,504
52,5.78,279860,142907,Sugarcane,Rainfed,2,694
43,7.53,195018,232118,Cotton,Canal,0,597
42,5.24,166873,159502,Wheat,Canal,2,465
45,3.09,774529,374640,Maize,Rainfed,1,641
42,2.11,330743,285614,Rice,Canal,1,701
42,6.4,476816,212811,Sugarcane,Canal,0,439
62,7.33,691960,496668,Maize,Borewell,1,543
26,5.91,219332,254396,Sugarcane,Canal,0,602
35,7.51,202445,450193,Sugarcane,Rainfed,2,510
63,1.84,450007,301933,Cotton,Rainfed,0,638
57,8.88,794290,285785,Wheat,Borewell,2,309
53,6.03,169987,215910,Sugarcane,Canal,1,799
28,1.71,220787,185206,Maize,Canal,0,370
64,4.89,548718,234492,Sugarcane,Canal,1,418
64,8.53,741371,341575,Wheat,Canal,1,736
25,9.03,675976,301770,Rice,Rainfed,1,426
59,3.01,228406,250092,Sugarcane,Rainfed,1,559
24,7.26,127304,99565,Maize,Borewell,1,527
26,1.45,779409,359456,Rice,Canal,0,744
52,0.82,129495,160613,Rice,Rainfed,1,514
50,5.82,874056,351060,Cotton,Canal,0,688
55,7.1,426688,201765,Cotton,Rainfed,0,539
60,8.06,806066,219631,Sugarcane,Rainfed,0,679
36,3.73,745058,394983,Maize,Borewell,1,631
33,0.56,547209,362202,Cotton,Canal,1,716
62,5.06,134987,266202,Wheat,Borewell,0,464
50,0.65,270161,265711,Wheat,Borewell,1,495
39,1.37,710285,455074,Rice,Borewell,0,538
37,3.6,131465,93324,Rice,Borewell,1,578
39,4.65,631889,493160,Rice,Borewell,1,369
48,3.15,202071,140687,Wheat,Borewell,0,318
46,6.03,458141,225259,Cotton,Borewell,1,537
57,1.03,132366,78147,Cotton,Canal,0,672
46,1.87,383929,127914,Sugarcane,Borewell,0,539
43,7.1,126242,435023,Maize,Canal,1,641
29,1.85,756904,308808,Wheat,Canal,1,715
32,6.58,446543,390737,Rice,Rainfed,0,634
21,1.02,388500,444576,Maize,Borewell,0,614
21,4.37,635214,52048,Rice,Canal,0,369
54,2.19,729668,482236,Maize,Rainfed,2,497
52,1.54,621109,93935,Maize,Rainfed,1,561
45,5.89,863023,203554,Cotton,Borewell,2,493
60,9.32,575066,167884,Sugarcane,Borewell,0,772
21,1.02,678549,403343,Sugarcane,Borewell,2,431
36,4.5,833839,214045,Rice,Borewell,0,674
59,7.22,866256,159982,Wheat,Canal,2,369
25,4.9,775080,458401,Sugarcane,Canal,2,744
42,8.16,223467,462915,Wheat,Borewell,1,670
49,2.21,424524,105885,Rice,Borewell,1,739
23,9.62,461977,484798,Wheat,Canal,2,529
32,4.16,748296,330205,Maize,Borewell,0,441
46,3.74,224992,127015,Maize,Rainfed,1,382
36,8.81,671299,159508,Rice,Canal,2,818
57,5.86,299675,167700,Wheat,Rainfed,0,737
42,5.41,213593,225669,Wheat,Rainfed,1,765
49,7.41,762627,191964,Rice,Rainfed,2,627
34,6.01,269519,336075,Sugarcane,Rainfed,0,512
48,2.04,203940,150175,Cotton,Borewell,0,482
25,6.9,206677,336798,Sugarcane,Borewell,2,654
50,1.77,356729,138478,Cotton,Borewell,0,519
25,8.16,587894,239892,Wheat,Borewell,2,327
32,9.9,233570,309220,Cotton,Canal,0,476
36,4.09,446727,103886,Cotton,Borewell,2,678
46,4.73,707344,432621,Wheat,Canal,1,750
46,0.94,201468,384614,Maize,Rainfed,0,786
41,0.63,874233,266220,Cotton,Canal,2,548
59,9.25,157880,412173,Rice,Borewell,2,506
56,1.72,121355,255914,Sugarcane,Rainfed,0,543
53,4.73,226360,285361,Wheat,Rainfed,1,513
50,8.25,703224,377468,Wheat,Borewell,2,383
57,8.95,839968,417664,Cotton,Rainfed,1,326
43,5.43,332694,115027,Maize,Rainfed,0,334
30,5.87,890878,51425,Maize,Rainfed,1,801
25,6.86,338123,182805,Sugarcane,Canal,0,368
56,9.63,377034,226447,Sugarcane,Rainfed,2,493
54,6.23,330828,114411,Maize,Rainfed,1,596
51,5.82,167266,322747,Maize,Canal,0,575
30,0.64,829914,324296,Maize,Borewell,2,591
39,1.27,309287,459017,Cotton,Canal,1,625
52,5.98,743426,368462,Rice,Canal,0,451
21,9.39,704944,460201,Sugarcane,Borewell,1,432
25,8.73,174104,273543,Wheat,Borewell,2,511
24,9.83,196844,158051,Maize,Canal,2,480
36,5.51,120969,333212,Maize,Rainfed,0,660
44,7.99,481040,325675,Rice,Borewell,1,723
36,8.48,523522,424433,Maize,Rainfed,1,423
22,6.66,709804,346432,Sugarcane,Borewell,2,477
48,3.72,737365,150694,Maize,Rainfed,1,629
52,4.96,856205,272089,Rice,Canal,1,525
47,8.65,620314,403906,Cotton,Canal,1,462
40,3.34,584657,148197,Sugarcane,Canal,0,792
44,9.28,586508,483284,Cotton,Canal,2,770
32,2.68,321961,289092,Wheat,Borewell,0,656
55,7.62,694405,193531,Rice,Canal,2,640
53,6.49,646025,267713,Wheat,Rainfed,0,454
53,7.62,726692,154445,Wheat,Canal,0,492
63,4.65,537541,475770,Wheat,Canal,0,558
57,9.36,263398,156243,Wheat,Canal,1,529
32,6.51,603338,120313,Rice,Canal,2,399
23,3.24,395055,309392,Cotton,Borewell,0,525
21,6.57,804440,303025,Maize,Borewell,1,329
53,3.22,433323,258040,Wheat,Borewell,0,521
60,3.29,832502,457487,Maize,Rainfed,1,315
30,4.3,355603,439430,Maize,Rainfed,0,757
63,8.6,445689,315945,Wheat,Canal,2,515
64,5.25,360655,384737,Sugarcane,Rainfed,2,835
49,6.95,430748,469727,Maize,Rainfed,0,732
33,4.22,339973,254118,Sugarcane,Rainfed,0,539
32,3.0,456476,385779,Cotton,Rainfed,0,401
51,9.57,727176,130729,Maize,Borewell,0,342
22,6.23,136820,367377,Rice,Borewell,1,717
55,9.37,720790,332155,Cotton,Rainfed,2,620
43,2.43,494415,244035,Cotton,Rainfed,1,712
37,1.9,187345,361044,Sugarcane,Borewell,2,333
46,8.63,290386,463980,Wheat,Canal,0,744
28,6.97,190793,301139,Rice,Borewell,2,479
49,2.27,387053,232766,Rice,Rainfed,0,567
46,3.06,737169,130085,Sugarcane,Rainfed,0,833
30,8.11,134866,450176,Sugarcane,Rainfed,1,611
46,4.81,818149,66583,Cotton,Borewell,2,305
54,6.87,364734,180283,Sugarcane,Rainfed,1,847
61,3.52,448141,384676,Wheat,Borewell,1,757
27,4.12,410604,265175,Cotton,Canal,1,779
24,9.91,168500,326345,Cotton,Rainfed,1,367
31,2.85,319841,251651,Cotton,Rainfed,2,419
49,5.31,642881,372163,Rice,Canal,2,632
56,8.52,394272,332564,Rice,Borewell,1,645
45,2.77,649490,90602,Cotton,Rainfed,2,544
41,4.44,380731,495861,Wheat,Rainfed,0,596
56,6.34,610010,234196,Maize,Rainfed,2,659
30,5.07,840687,150156,Cotton,Rainfed,1,647
57,4.87,299037,361175,Sugarcane,Canal,0,736
29,3.94,723546,324773,Maize,Borewell,0,771
44,6.07,774676,78675,Rice,Canal,0,574
55,6.43,231302,439796,Rice,Borewell,0,364
55,6.71,824600,182734,Maize,Canal,0,368
56,1.17,203583,392414,Sugarcane,Canal,1,608
38,6.49,829649,57589,Rice,Borewell,1,446
59,9.56,704352,421098,Rice,Rainfed,0,807
52,5.64,217119,492580,Cotton,Rainfed,1,475
44,7.3,868409,54655,Wheat,Canal,2,500
43,5.79,594392,386429,Sugarcane,Canal,1,317
52,8.62,666701,191869,Cotton,Canal,2,635
57,9.33,824259,278538,Wheat,Rainfed,1,426
32,2.25,206891,56645,Rice,Borewell,2,791
33,4.65,601981,429523,Wheat,Rainfed,2,350
43,4.23,845329,477978,Rice,Canal,0,450
45,4.35,153033,359778,Cotton,Rainfed,1,460
55,1.69,483298,202504,Rice,Rainfed,0,487
61,8.23,121378,491106,Wheat,Rainfed,2,529
50,0.84,519719,224683,Cotton,Borewell,1,480
37,5.52,225461,469887,Wheat,Canal,1,769
40,6.79,818134,86760,Wheat,Rainfed,0,726
45,2.47,834968,275049,Maize,Rainfed,1,381
42,9.11,763392,78233,Rice,Canal,1,703
33,8.47,415761,480807,Rice,Rainfed,1,777
